name,category,description,example_prompt,effort,loader_feasibility,priority,source,usefulness,score_composite,rationale,demand_source,demand_evidence,score_browser_local,score_audience,score_composability,score_demand,feasibility_verified,feasibility_note
strip-exif,image,"Removes all metadata (EXIF, GPS, XMP) from an image and returns a clean copy without re-encoding pixels.",Strip the location data out of this JPEG,M,plain Rust→WASM rewrites JPEG/PNG segments (img-parts) in memory; the clean file is downloaded locally.,3.25,v2,,3.25,Privacy-critical step before posting photos that users specifically don't want to trust to a website.,cyberchef,npm=0;wiki=0;stack=0;github=170,5,3,3,2,unknown,no crate/model referenced
strip-ipv4-header,dev,Removes the IPv4 header (honoring IHL/options) from a raw hex packet and returns the encapsulated payload.,Strip the IPv4 header from 4500003c1c4640004006b1e6c0a80168c0a800c7... and give me the payload,S,Pure Rust slicing in WASM; deterministic and local.,3.25,v2,,3.25,Peeling layers off captured packets is a common reverse-engineering step.,cyberchef,npm=0;wiki=0;stack=0;github=4,4,3,5,1,unknown,no crate/model referenced
strip-udp-header,dev,Removes the 8-byte UDP header from a raw hex datagram and returns the payload.,Strip the UDP header from 0035003500291e1b... and give me the payload,S,Pure Rust slicing in WASM; deterministic and local.,3.25,v2,,3.25,Getting at the encapsulated payload (e.g. DNS over UDP) is a frequent analysis step.,cyberchef,npm=0;wiki=0;stack=0;github=0,4,3,5,1,unknown,no crate/model referenced
svg-optimize,image,Minifies and cleans up SVG markup (SVGO-style).,Optimize and minify this SVG,M,plain Rust→WASM SVG tree parse and rewrite.,3.25,both,4,3.25,Editors like SVG-Edit and Method Draw produce bloated SVG that needs cleanup.,awesome,npm=0;wiki=0;stack=0;github=0,3,3,4,3,unknown,no crate/model referenced
svg-recolor,image,Recolors an SVG icon by remapping its fill/stroke colors.,Change all the black fills in this SVG icon to #2563EB,S,plain Rust→WASM; XML/CSS color attribute rewriting.,3.25,v2,,3.25,Recoloring icons to match a brand is a constant CleanIcons/IcoMoon workflow and pure text work.,awesome,npm=0;wiki=0;stack=0;github=0,3,3,4,3,unknown,no crate/model referenced
svg-to-png,image,Rasterizes an SVG document into a PNG or JPEG at a chosen resolution.,Render this SVG as a 1024px PNG,M,"plain Rust→WASM via resvg/tiny-skia rasterizes vector paths to pixels in-memory, no DOM or canvas required.",3.25,both,4,3.25,Designers and devs constantly need raster exports of vector art without uploading to a converter site.,cyberchef,npm=6373;wiki=0;stack=0;github=1905,3,3,4,3,no,not found: resvg/tiny-skia
text-image-card,image,Renders a quote or short text onto a styled shareable image card (PNG).,Make a shareable image card from this quote: <text>,M,plain Rust→WASM rasterizes text with an embedded font (ab_glyph/image) to PNG bytes; no network.,3.25,v2,,3.25,"Captures TallTweets' long-text-as-image feature, useful for sharing quotes and announcements.",awesome,npm=0;wiki=0;stack=0;github=474,3,3,3,4,unknown,no crate/model referenced
todo-organizer,utility,"Parses a freeform brain-dump into a prioritized Markdown checklist, grouping by urgency keywords and due hints.",Organize this into a prioritized todo list: <brain dump>,S,plain Rust→WASM heuristic parsing and sorting of pasted text; no persistence or network needed.,3.25,v2,,3.25,"Reframes Daily Todo's value as a one-shot organizer, which fits the stateless tool model better than a stored list.",awesome,npm=0;wiki=0;stack=0;github=1984,3,3,3,4,unknown,no crate/model referenced
toml-to-json,data,Converts a TOML document into formatted JSON.,convert my Cargo-style toml to json,S,"plain Rust→WASM — the toml crate parses into serde_json, no I/O required.",3.25,v2,,3.25,Inspecting or diffing TOML config as JSON completes the common config-format conversion matrix.,awesome,npm=0;wiki=0;stack=0;github=0,3,3,4,3,yes,found crate:toml
trim-silence,audio,"Automatically removes leading, trailing, and long internal silences.",Strip the silent gaps out of this voice memo,M,ffmpeg silenceremove detects and cuts quiet regions client-side.,3.25,v2,,3.25,"Silence trimming is a high-value cleanup step for podcasts and recordings, done on-device.",awesome,npm=0;wiki=0;stack=0;github=0,4,3,4,2,unknown,no crate/model referenced
unit-converter,utility,"Converts between units of length, mass, temperature, volume, area, speed, and data size.",convert 5 miles to kilometers and 72 fahrenheit to celsius,S,"plain Rust→WASM with embedded conversion-factor tables, fully offline.",3.25,v2,,3.25,Calculatoria/WolframAlpha conversions are a perennial high-demand utility with no server needed.,awesome,npm=111;wiki=0;stack=0;github=23111,2,4,3,4,unknown,no crate/model referenced
video-frame-grab,video,Extracts a single still frame from a video at a chosen timestamp as a PNG or JPEG.,Grab a thumbnail from this video at 5 seconds,M,"ffmpeg seeks and decodes one frame entirely client-side, no upload of the full clip.",3.25,v2,,3.25,Poster frames and thumbnails are a constant need and keep private video on-device.,cyberchef,npm=0;wiki=0;stack=0;github=59,4,3,4,2,unknown,no crate/model referenced
video-to-gif,video,Converts a section of a video into an optimized animated GIF.,Make a gif from the first 4 seconds of this clip,S,ffmpeg palettegen/paletteuse filter chain runs entirely client-side in WASM.,3.25,both,4,3.25,GIF-from-video is a perennial high-volume converter request that needs no server.,awesome,npm=92;wiki=0;stack=0;github=0,4,3,3,3,unknown,no crate/model referenced
vocal-remover,audio,Removes center-panned vocals to create a karaoke/instrumental track.,Remove the vocals from this song,M,ffmpeg pan/stereo-difference filtering cancels the center channel locally; no model needed.,3.25,v2,,3.25,AI Vocal Remover demand is huge and the center-cancel method runs instantly client-side.,awesome,npm=0;wiki=0;stack=0;github=0,4,3,4,2,no,not found: pan/stereo-difference
word-frequency,text,Counts and ranks the most frequently used words in a block of text.,what are the 10 most common words in this article?,S,plain Rust→WASM tokenize-and-tally with a stopword list; pure CPU in the sandbox,3.25,both,4,3.25,Surfacing keyword distribution maps the statistic demand to a useful writing/SEO aid.,omni-tools,npm=34;wiki=0;stack=0;github=7651,3,3,3,4,unknown,no crate/model referenced
word-frequency-counter,text,"Counts how often each word appears and ranks them, with optional stop-word filtering.",What are the most common words in this text?,S,plain Rust→WASM — tokenize and hash-map count entirely client-side.,3.25,v2,,3.25,Extends text-statistics demand; useful for SEO and writing analysis.,it-tools,npm=384;wiki=0;stack=0;github=0,3,3,3,4,unknown,no crate/model referenced
xml-to-csv,data,Flattens repeated XML elements into a CSV table with columns inferred from child tags and attributes.,convert this XML list of products into a CSV,M,"plain Rust→WASM: parse + flatten + CSV-encode are all pure text operations, browser-local.",3.25,v2,,3.25,"Turns API/feed XML into spreadsheet-ready data, a common analyst workflow.",omni-tools,npm=17;wiki=0;stack=0;github=2902,3,2,4,4,unknown,no crate/model referenced
xml-to-json,data,Converts an XML document into an equivalent JSON structure preserving attributes and nesting.,"convert this xml to json: <user id=""1""><name>Ana</name></user>",M,"plain Rust→WASM — quick-xml plus serde_json do the parse and emit purely in memory, fully offline.",3.25,both,3,3.25,Bridging legacy XML feeds into JSON tooling is a constant integration chore worth a one-shot converter.,awesome,npm=375;wiki=0;stack=0;github=0,3,3,4,3,unknown,no crate/model referenced
xml-validator,dev,"Checks XML for well-formedness and, if an XSD is provided, validates against the schema, reporting line/column of errors.",validate this XML and tell me what's wrong,M,plain Rust→WASM — a pure-Rust XML parser walks the document in memory; no server or DTD network fetch.,3.25,v2,,3.25,Directly fulfills the xml-validator demand and keeps potentially sensitive XML payloads on-device.,omni-tools,npm=335;wiki=0;stack=0;github=0,3,3,3,4,unknown,no crate/model referenced
yaml-to-json,data,"Parses YAML into equivalent JSON, preserving types and nested structures.",convert this YAML to JSON,S,"plain Rust→WASM via serde_yaml + serde_json — pure parsing, no network",3.25,both,3,3.25,Config-file conversion between YAML and JSON is a daily devops task with strong recurring demand.,cyberchef,npm=0;wiki=0;stack=0;github=1835,3,3,5,2,unknown,no crate/model referenced
yara-scan,dev,Runs user-supplied YARA rules against an uploaded file and reports which rules and strings matched.,Run these YARA rules against this file and tell me what matches.,L,Plain Rust→WASM via the pure-Rust yara-x engine; rule compilation and matching execute locally with no scanner backend.,3.25,v2,,3.25,Lets analysts triage suspicious files privately without uploading samples to a cloud sandbox.,cyberchef,npm=0;wiki=0;stack=0;github=381,5,2,3,3,unknown,no crate/model referenced
animated-heatmap,data,Takes a time-ordered sequence of matrices and renders an animated heatmap (GIF/MP4) showing how values evolve.,Animate these hourly traffic matrices into a heatmap GIF,M,plain Rust→WASM renders each frame to a bitmap and the ffmpeg loader encodes the GIF/MP4 — both run client-side in WASM.,3,v2,,3.0,"Animated heatmaps convey temporal change that a single static frame cannot, and ffmpeg makes local encoding straightforward.",cyberchef,npm=0;wiki=0;stack=0;github=83,4,2,3,3,no,not found: GIF/MP4
animated-webp-to-gif,image,Converts animated WebP files back to GIF for maximum compatibility.,convert this animated WebP to a GIF,M,ffmpeg (wasm): decodes animated WebP frames and encodes a GIF locally.,3,v2,,3.0,"GIF remains the universally-accepted animation format for chats and docs, so the reverse path is in demand.",omni-tools,npm=0;wiki=0;stack=0;github=43,3,2,3,4,unknown,no crate/model referenced
audio-concat,audio,Merges multiple audio clips into one continuous track with optional crossfade.,Join these three voice memos into one MP3,M,"ffmpeg (WASM build) concat/filter runs in-browser, decoding and re-encoding locally.",3,both,3,3.0,Stitching audio is a frequent podcast/voice-note task and avoids uploading private recordings.,cyberchef,npm=0;wiki=0;stack=0;github=82,4,2,3,3,unknown,no crate/model referenced
audio-metadata-editor,audio,"Views and edits ID3 tags (title, artist, album, year) and embedded cover art on an audio file.",Set the artist and album tags on this MP3,M,Plain Rust→WASM ID3 read/write on the uploaded bytes; no server.,3,v2,,3.0,Music collected from radio/streaming sources arrives with missing or wrong tags that listeners want to fix.,awesome,npm=0;wiki=0;stack=0;github=117,4,3,2,3,unknown,no crate/model referenced
base32-codec,data,Encodes text or bytes to RFC 4648 Base32 and decodes Base32 strings back to the original data.,"base32 encode ""secret token""",S,plain Rust→WASM — 5-bit group packing is pure bit arithmetic.,3,v2,,3.0,"Base32 is widely used for TOTP secrets and case-insensitive identifiers, with explicit two-way demand.",cyberchef,npm=0;wiki=0;stack=0;github=16,4,3,4,1,unknown,no crate/model referenced
bcrypt-hash,dev,Generates a bcrypt hash for a password at a chosen cost and verifies a password against an existing bcrypt hash.,"Make a bcrypt hash of 'p@ssw0rd' at cost 12, and check it against $2b$12$...",S,plain Rust→WASM — pure-Rust bcrypt implementation runs deterministically with no network.,3,v2,,3.0,Developers constantly generate and verify bcrypt hashes and want to avoid pasting passwords into web tools.,cyberchef,npm=0;wiki=0;stack=0;github=3333,5,3,2,2,unknown,no crate/model referenced
bip39-mnemonic-generator,utility,Generates a BIP39 mnemonic seed phrase (12–24 words) from secure entropy with checksum.,generate a 24-word bip39 mnemonic,M,plain Rust→WASM using the bip39 crate and getrandom for entropy; the phrase is created locally and never sent anywhere.,3,v2,,3.0,"Seed phrases must be generated offline for safety, making a browser-local wasm tool exactly the right delivery.",it-tools,npm=0;wiki=0;stack=0;github=44,5,2,2,3,yes,found crate:bip39
blowfish-cipher,dev,Encrypts or decrypts data with Blowfish in ECB or CBC mode with PKCS7 padding.,Encrypt this string with Blowfish-CBC using key 'p@ss' and this IV,M,Plain Rust→WASM via the `blowfish` + `cbc` crates; block-cipher rounds are pure compute with no network.,3,v2,,3.0,"Blowfish is still embedded in older databases and appliances, so decoding its output is a real interop need.",cyberchef,npm=0;wiki=0;stack=0;github=108,5,3,3,1,unknown,no crate/model referenced
blur-image,image,Applies a Gaussian blur of adjustable radius to an entire image.,Blur this image a lot,M,plain Rust→WASM image/imageproc convolves locally; webgpu-compute shader optional for large images.,3,v2,,3.0,Blurring for privacy redaction and soft backgrounds is common and shouldn't require an upload.,cyberchef,npm=43;wiki=0;stack=0;github=0,3,3,4,2,unknown,no crate/model referenced
bollinger-bands,math,Computes Bollinger Bands (moving average plus/minus standard deviations).,Compute Bollinger Bands for these closes with a 20 period,S,plain Rust→WASM computes the mean/stddev bands on pasted data.,3,v2,,3.0,"Bollinger Bands round out the common TradingView indicator set, all client-side.",awesome,npm=401;wiki=0;stack=0;github=1337,2,3,3,4,unknown,no crate/model referenced
byte-drop,data,"Removes a byte range (start offset + length) from text, hex, or base64 input and returns the remainder.",drop bytes 0 through 7 from this hex blob,S,"plain Rust→WASM; in-memory byte removal, fully client-side.",3,v2,,3.0,"The inverse of byte-take, useful for stripping headers/magic bytes before further analysis.",cyberchef,npm=165;wiki=0;stack=0;github=67,3,2,4,3,unknown,no crate/model referenced
bzip2-compress,data,"Compresses input using the bzip2 (Burrows–Wheeler) algorithm, usually smaller than gzip on text.",bzip2 compress this text file,M,"plain Rust→WASM via the pure-Rust libbz2-rs-sys port — no C toolchain, runs in the wasmi sandbox.",3,v2,,3.0,bzip2 gives better ratios on text than gzip and there is no good offline browser tool for producing it.,cyberchef,npm=0;wiki=0;stack=0;github=99,4,2,4,2,unknown,no crate/model referenced
change-case,text,"Converts text to UPPER, lower, Title, Sentence, or swapped case.",make this paragraph all uppercase,S,plain Rust→WASM: ASCII/Unicode case mapping is a pure in-memory transform with no network or filesystem dependency.,3,v2,,3.0,Covers the high-frequency To Upper / To Lower / Swap case demand in a single intuitive tool.,cyberchef,npm=107289497;wiki=0;stack=0;github=0,2,4,4,2,unknown,no crate/model referenced
chi-square-test,math,"Runs a chi-square goodness-of-fit or contingency-table test and reports the statistic, degrees of freedom, and p-value.","run a chi-square test on observed 10,20,30 vs expected 20,20,20",M,"plain Rust→WASM — chi-square statistic plus an incomplete-gamma p-value approximation, pure math",3,v2,,3.0,A self-contained statistical test is broadly useful for data analysis and demanded both in stats and cryptanalysis contexts.,cyberchef,npm=0;wiki=0;stack=0;github=1854,3,3,3,3,unknown,no crate/model referenced
code-comment-generator,dev,Generates docstrings or inline comments explaining a code snippet.,Add comments and a docstring to this Python function,L,transformers-js runs a small instruct/code model fully in-browser via WASM/WebGPU.,3,v2,,3.0,On-device code commenting helps documentation without sending proprietary code to an external API.,cyberchef,npm=15;wiki=0;stack=0;github=0,3,3,3,3,unknown,no crate/model referenced
code-to-image,dev,Renders a syntax-highlighted code snippet into a polished PNG image for sharing.,Make a nice image of this Python function to post on Twitter,M,plain Rust→WASM highlights with syntect and rasterizes glyphs and background to pixels locally.,3,v2,,3.0,Shareable code screenshots (à la carbon.now.sh) are extremely popular among developers.,cyberchef,npm=76;wiki=0;stack=0;github=20908,3,3,3,3,unknown,no crate/model referenced
color-palette-extract,image,Extracts the dominant color palette from an image as hex codes.,Pull the main colors out of this photo,S,plain Rust→WASM k-means/quantization over pixels runs instantly client-side.,3,v2,,3.0,Designers constantly need palettes from reference images; cheap and offline.,awesome,npm=0;wiki=0;stack=0;github=635,3,3,3,3,unknown,no crate/model referenced
color-palette-generator,image,"Generates harmonious palettes (complementary, analogous, triadic, split) from a base color.",Give me a triadic palette based on #3B82F6,S,"plain Rust→WASM; HSL color-wheel math, no I/O.",3,v2,,3.0,Palette generation is the core of Coolors/Adobe Color/Branition and is pure math.,awesome,npm=32;wiki=0;stack=0;github=0,2,3,4,3,unknown,no crate/model referenced
css-autoprefixer,dev,"Adds vendor prefixes (-webkit-, -moz-, -ms-) to pasted CSS for the properties that still need them.",add vendor prefixes to this css: .box { display: flex; user-select: none; },M,plain Rust→WASM CSS tokenizing with an embedded prefix-rules table; deterministic and offline.,3,v2,,3.0,Direct match for CSS Autoprefixer demand with no build-tool setup.,awesome,npm=0;wiki=0;stack=0;github=188,2,3,4,3,unknown,no crate/model referenced
css-selector-extract,web,"Extracts elements, text, or attributes from an HTML document using a CSS selector.",Pull the text of every a.headline from this HTML,M,"plain Rust→WASM via scraper (html5ever + selectors), parsing the supplied HTML locally.",3,v2,,3.0,Scraper-builders need to test selectors against saved HTML without spinning up Node or a headless browser.,cyberchef,npm=232213;wiki=0;stack=0;github=132,3,2,4,3,unknown,no crate/model referenced
csv-find-incomplete-rows,data,Flags CSV rows that have too few or too many fields or contain blank required cells.,find the broken rows in this csv,S,"plain Rust→WASM field-count and emptiness validation, fully local.",3,v2,,3.0,Catching malformed rows before import saves a lot of downstream debugging.,omni-tools,npm=0;wiki=0;stack=0;github=0,3,3,3,3,unknown,no crate/model referenced
data-uri-decode,web,"Decodes a data: URI into its MIME type and decoded payload, with a text preview or downloadable bytes.","Decode this data URI: data:text/plain;base64,SGVsbG8=",S,"Plain Rust→WASM: parse the data: scheme then base64/percent-decode the body, entirely client-side.",3,v2,,3.0,"Data URIs embed a MIME type plus encoded content and turn up in CSS, HTML, and JSON, so decoding them locally reveals what they actually contain.",cyberchef,npm=0;wiki=0;stack=0;github=25,4,3,4,1,no,not found: base64/percent-decode
date-diff,utility,"Computes the duration between two dates broken down into years, months, days, hours, and total units.",how many days between 2026-01-01 and 2026-06-19,S,plain Rust→WASM — date subtraction and unit breakdown are pure calendar math executed client-side.,3,v2,,3.0,"Directly fulfills the time-between-dates demand, a perennial planning and billing calculation.",omni-tools,npm=12811;wiki=0;stack=0;github=0,2,4,2,4,unknown,no crate/model referenced
dot-to-svg,image,Renders Graphviz DOT diagram source into an SVG.,Draw this graph from DOT source,M,plain Rust→WASM layout engine; no Graphviz binary or server.,3,v2,,3.0,"Captures Draw.io-style diagram demand from a text spec, runnable offline.",awesome,npm=0;wiki=0;stack=0;github=0,3,2,4,3,unknown,no crate/model referenced
email-normalizer,data,"Canonicalizes an email address by lowercasing, stripping Gmail dots and plus-tags, and reporting the deliverable form.",normalize First.Last+news@Gmail.com,S,plain Rust→WASM — string parsing with provider-specific rules; no DNS or SMTP lookup so it is fully browser-local.,3,v2,,3.0,"De-duplicating sign-ups and detecting alias abuse needs canonical emails, and doing it offline avoids leaking address lists.",awesome,npm=12123;wiki=0;stack=0;github=0,3,3,3,3,unknown,no crate/model referenced
email-validator,dev,Validates email-address syntax against RFC rules and flags common typos and formatting issues.,Is 'jane.doe@@example..com' a valid email address?,S,plain Rust→WASM syntactic validation; deterministic and offline.,3,v2,,3.0,"Adjacent to Mailinator/Randommer email needs and a perennially useful, fully local check.",awesome,npm=9096125;wiki=0;stack=0;github=12168,2,3,3,4,unknown,no crate/model referenced
error-level-analysis,image,Performs Error Level Analysis by recompressing a JPEG and amplifying the differences to reveal edited or spliced regions.,Run error level analysis on this photo to check if it's been edited.,M,Plain Rust→WASM; JPEG recompression and pixel-difference amplification run locally with the image crate.,3,v2,,3.0,ELA is the most popular quick check for image tampering and has clear demand but few trustworthy offline tools.,cyberchef,npm=0;wiki=0;stack=0;github=311,4,2,3,3,yes,found crate:image
extract-domains,text,"Extracts hostnames and registrable domains from text, URLs, or emails and lists them deduplicated.",List the unique domains referenced in this threat report,M,plain Rust→WASM tokenizing + public-suffix matching bundled in the WASM; offline.,3,v2,,3.0,Threat-intel and SEO users frequently need a clean domain inventory from messy text.,cyberchef,npm=0;wiki=0;stack=0;github=0,3,3,4,2,unknown,no crate/model referenced
extract-exif,image,"Reads EXIF/IPTC/XMP metadata (camera, lens, exposure, timestamps) from a photo.",What camera and settings were used for this photo?,S,"plain Rust→WASM via the kamadak-exif parser reading the uploaded image's headers; no decode, no upload.",3,v2,,3.0,Photographers and investigators want metadata without handing their image to an online EXIF site.,cyberchef,npm=0;wiki=0;stack=0;github=722,4,3,3,2,unknown,no crate/model referenced
fake-data-generator,data,"Generates rows of fake test records (name, email, phone, address) as CSV or JSON.","Generate 20 fake user records as CSV with name, email, and phone.",M,plain Rust→WASM sampling from embedded datasets with a seed; serialization is offline.,3,v2,,3.0,"The broad Randommer 'mock data' use case, valuable to developers and fully self-contained.",awesome,npm=70;wiki=0;stack=0;github=1096,1,3,4,4,unknown,no crate/model referenced
fernet-token,dev,"Creates or reads Fernet tokens (AES-128-CBC + HMAC-SHA256), with optional TTL verification on decrypt.","Make a Fernet token for this message using this base64 key, then decode it back",M,"Plain Rust→WASM via the `fernet` crate; AES, HMAC, and base64url are all pure compute with no network.",3,v2,,3.0,"Fernet is the default token format in Python's `cryptography` library, so devs constantly need to mint and inspect them.",cyberchef,npm=0;wiki=0;stack=0;github=41,5,3,3,1,unknown,no crate/model referenced
find-unique-lines,text,Returns only the lines that appear exactly once across the input.,show me the lines that only appear once,S,"plain Rust→WASM frequency count over lines, no server.",3,v2,,3.0,Isolating one-off entries is distinct from dedupe and useful for diffing lists.,omni-tools,npm=0;wiki=0;stack=0;github=19,3,2,3,4,unknown,no crate/model referenced
frequency-distribution,data,"Builds a character, byte, or n-gram frequency table (with counts and percentages) from input text or hex.",show me the letter frequency of this ciphertext,S,"plain Rust→WASM — hashmap counting over input bytes, no dependencies",3,v2,,3.0,"Frequency tables underpin nearly all classical cryptanalysis and quick data profiling, and need no server.",cyberchef,npm=38;wiki=0;stack=0;github=1145,3,2,4,3,unknown,no crate/model referenced
fuzzy-hash,dev,"Computes an SSDEEP context-triggered piecewise hash (CTPH) of a file, producing a similarity-comparable fingerprint.",generate the ssdeep fuzzy hash of this file,M,plain Rust→WASM — a pure-Rust ssdeep implementation reads file bytes locally and computes the rolling/piecewise hash entirely in wasmi.,3,v2,,3.0,"Fuzzy hashing is the core of malware-similarity and near-duplicate detection and there is almost no browser-local SSDEEP tool, mapping the 'SSDEEP'/'CTPH' demand precisely.",cyberchef,npm=0;wiki=0;stack=0;github=136,4,2,4,2,unknown,no crate/model referenced
generate-ecdsa-key-pair,dev,Generates an ECDSA key pair on a chosen curve (P-256/P-384/P-521) and outputs PEM and optionally JWK keys.,Generate a P-256 ECDSA key pair,M,plain Rust→WASM via the p256/p384 + ecdsa crates; the private key is generated locally and never transmitted.,3,v2,,3.0,EC keys back most modern JWT/mTLS setups and generating them locally avoids exposing the private key.,cyberchef,npm=0;wiki=0;stack=0;github=30,5,2,4,1,no,not found: p256/p384
generate-hotp,utility,"Computes a counter-based HOTP code from a Base32 secret and counter value, with configurable digits.",generate the hotp code for secret JBSWY3DPEHPK3PXP at counter 5,S,"plain Rust→WASM — HMAC over the counter, identical primitives to TOTP, fully offline",3,v2,,3.0,"HOTP covers hardware-token and event-based OTP scenarios that TOTP does not, completing the OTP toolset.",cyberchef,npm=0;wiki=0;stack=0;github=86,5,2,2,3,unknown,no crate/model referenced
geojson-to-svg,image,Renders GeoJSON features into an SVG map without tile servers.,Draw this GeoJSON as a map,M,plain Rust→WASM projection and SVG emit; no external map tiles needed.,3,v2,,3.0,Delivers ScribbleMaps-style shape drawing fully client-side.,awesome,npm=7144;wiki=0;stack=0;github=68,4,2,3,3,unknown,no crate/model referenced
gif-reverse,video,Reverses the playback order of an animated GIF.,Reverse this GIF so it plays backwards,S,"ffmpeg loader; `reverse` filter on the frame stream, client-side.",3,v2,,3.0,"Reversing is a fun, popular ezGIF effect and cheap to implement locally.",awesome,npm=0;wiki=0;stack=0;github=69,4,2,3,3,unknown,no crate/model referenced
gpx-analyzer,data,"Parses a GPX track and reports distance, elevation gain, duration and pace.",analyze this GPX file and tell me total distance and elevation gain,M,plain Rust→WASM parses XML and does the geodesic math locally.,3,v2,,3.0,Mapping/cartography users (Abc-Map) often need to inspect their own track files privately.,awesome,npm=0;wiki=0;stack=0;github=0,4,3,2,3,unknown,no crate/model referenced
gzip-size-estimator,web,Reports the raw and gzipped byte size of pasted code or text to estimate transfer weight.,How big is this JS bundle gzipped?,S,"Plain Rust→WASM — flate2 gzip-compresses the input locally to measure size, no network.",3,v2,,3.0,Maps Pingdom/Website Speed Test 'how heavy is my page' demand onto the one part that is computable locally — compressed asset size.,awesome,npm=0;wiki=0;stack=0;github=0,3,3,3,3,unknown,no crate/model referenced
hash-identifier,dev,"Identifies the likely hash or MAC scheme of a string (bcrypt, Argon2, NT, LM, MD5, SHA-family, CRC, and more).",What kind of hash is $2b$12$abcd...?,M,"plain Rust→WASM; identification is local pattern, length, and prefix matching.",3,v2,,3.0,Figuring out what a mystery hash is precedes any cracking or migration task and is a common first step.,cyberchef,npm=76;wiki=0;stack=0;github=1120,3,2,4,3,unknown,no crate/model referenced
hash-text,utility,"Computes a cryptographic hash of any pasted text using a selectable algorithm (MD5, SHA-1, SHA-256, SHA-512, SHA3, BLAKE3, and more).","sha256 hash of ""hello world""",S,"plain Rust→WASM — RustCrypto digest crates (md-5, sha1, sha2, sha3, blake3) are pure-Rust, deterministic and CPU-only, so they run entirely in the wasmi runtime with no network.",3,v2,,3.0,A single multi-algorithm text hasher is the highest-traffic catch-all that satisfies most 'generate a hash' intents in one tool.,cyberchef,npm=0;wiki=0;stack=0;github=0,4,3,3,2,no,not found: md-5
hmac-generate,dev,"Computes a keyed HMAC of a message using a selectable underlying hash (HMAC-SHA256, HMAC-SHA1, HMAC-SHA512, etc.).","hmac-sha256 of ""payload"" with key ""secret""",S,"plain Rust→WASM — the hmac crate composes over RustCrypto digests, all pure-Rust and deterministic in wasmi.",3,v2,,3.0,"HMAC is the most common real-world use of these hash primitives (webhook signing, API auth) and is a natural high-value extension of the hashing tool family.",cyberchef,npm=0;wiki=0;stack=0;github=212,4,3,3,2,yes,found crate:hmac
html-beautify,web,"Indents and tidies HTML markup, normalizing nesting and attribute spacing.",beautify this HTML,S,plain Rust→WASM via an HTML5 tokenizer (html5ever) reserialized with indentation; client-side only.,3,v2,,3.0,"Generic code-beautify demand maps cleanly to HTML, the most-pasted unformatted markup.",cyberchef,npm=6687;wiki=0;stack=0;github=266,3,3,3,3,unknown,no crate/model referenced
iban-validator,data,"Validates an IBAN via the mod-97 checksum and parses out country, bank and account components.",validate IBAN DE89370400440532013000,M,plain Rust→WASM — checksum arithmetic and a bundled country-format table run entirely in the sandbox.,3,v2,,3.0,Validating bank details locally is essential for privacy since IBANs are sensitive financial data.,awesome,npm=40;wiki=0;stack=0;github=0,4,3,2,3,unknown,no crate/model referenced
identify-archive-format,utility,"Detects the compression or archive format of an uploaded blob from its magic bytes (gzip, zlib, bzip2, xz/LZMA, zip, tar, LZ4, and more).",what compression format is this file?,S,"plain Rust→WASM — pure magic-byte sniffing over the buffer, fully client-side with no upload.",3,v2,,3.0,Users often have an unknown compressed blob and need to know which decompressor to reach for before doing anything else.,cyberchef,npm=0;wiki=0;stack=0;github=0,4,2,4,2,unknown,no crate/model referenced
image-contain-fit,image,"Fits an image inside target dimensions preserving aspect ratio, padding the remainder with a chosen colour (letterbox).",Fit this into a 1080x1080 square with white padding,M,plain Rust→WASM resizes then composites onto a padded canvas in-memory.,3,v2,,3.0,Social platforms demand fixed canvas sizes and 'contain' avoids cropping any content.,cyberchef,npm=0;wiki=0;stack=0;github=0,3,3,4,2,unknown,no crate/model referenced
image-cover-fit,image,Scales and centre-crops an image to completely fill target dimensions while preserving aspect ratio.,Make this fill a 16:9 banner,M,plain Rust→WASM resizes then crops the overflow locally.,3,v2,,3.0,Hero and banner images need exact dimensions with no letterboxing — the inverse of contain.,cyberchef,npm=0;wiki=0;stack=0;github=0,3,3,4,2,unknown,no crate/model referenced
image-false-color,image,Maps a grayscale or thermal image's luminance through a scientific colormap to produce a false-color heatmap image.,Apply a thermal heatmap colormap to this grayscale X-ray image,M,ffmpeg loader decodes/encodes the image while the per-pixel colormap mapping is pure Rust — all in the browser's WASM sandbox.,3,v2,,3.0,"False-color heatmapping makes grayscale, depth, and thermal imagery readable and is a common image-processing ask.",cyberchef,npm=0;wiki=0;stack=0;github=173,4,2,3,3,unknown,no crate/model referenced
image-opacity,image,"Sets or scales the alpha/opacity of an image, producing a semi-transparent PNG.",Make this logo 50% transparent,S,plain Rust→WASM rewrites the alpha channel in-memory.,3,v2,,3.0,Watermarks and overlay assets need adjustable transparency without a full editor.,cyberchef,npm=0;wiki=0;stack=0;github=0,3,3,4,2,unknown,no crate/model referenced
image-to-sketch,image,Turns a photo into a pencil or line-art sketch.,Make this photo look like a pencil sketch,M,ffmpeg edge-detection and blend filters compiled to WASM.,3,v2,,3.0,Captures the Sketchpad/kleki drawing aesthetic as a one-shot transform.,awesome,npm=0;wiki=0;stack=0;github=2556,4,3,2,3,unknown,no crate/model referenced
